58726	15	45	90	473
59401	16	19	150	474
59403	17	18	200	474
59418	15	33	90	473
60093	17	16	200	474
60097	16	16	150	474
60105	15	31	90	473
60156	14	53	40	470
60794	15	41	90	473
60910	14	1	40	470
61484	15	33	90	473
62189	16	19	150	474
62192	17	18	200	474
62243	14	51	40	470
62893	17	18	200	474
62904	15	37	90	473
63570	17	15	200	474
63598	15	29	90	473
64288	16	16	150	474
64291	17	17	200	474
64304	15	34	90	473
64887	16	1	150	474
64972	17	13	200	474
64973	16	22	150	474
65033	14	50	40	470
65671	16	14	150	474
65674	15	23	90	473
66307	15	1	90	473
66387	16	10	150	474
66394	17	15	200	474
66405	15	25	90	473
67108	16	12	150	474
67115	17	12	200	474
67170	14	50	40	470
67831	17	12	200	474
67835	15	27	90	473
68513	16	18	150	474
68521	17	22	200	474
68524	15	37	90	473
69213	17	17	200	474
69263	14	56	40	470
69895	16	16	150	474
69936	15	34	90	473
70153	17	7	200	474
70165	16	7	150	474
70452	17	19	200	474
70538	14	56	40	470
70740	15	25	90	473
70751	16	10	150	474
70936	16	1	150	474
71037	15	31	90	473
71288	17	9	200	474
71310	15	23	90	473
71590	17	21	200	474
71627	15	46	90	473
71864	17	13	200	474
71915	14	51	40	470
72169	15	38	90	473
72437	16	24	150	474
72437	17	25	200	474
72441	15	38	90	473
72628	17	1	200	474
72722	16	20	150	474
72725	17	21	200	474
72798	14	55	40	470
73025	15	32	90	473
73288	16	25	150	474
73292	17	20	200	474
73357	14	74	40	470
73569	17	20	200	474
73582	15	30	90	473
73849	17	18	200	474
73854	16	17	150	474
73911	14	51	40	470
74149	17	27	200	474
74151	15	43	90	473
74464	16	46	150	474
74468	17	50	200	474
74516	14	92	40	470
74692	17	11	200	474
74714	15	28	90	473
75009	17	24	200	474
75010	16	23	150	474
75086	14	70	40	470
75307	17	17	200	474
75312	15	41	90	473
75582	17	15	200	474
75616	15	38	90	473
75789	17	1	200	474
75948	17	73	200	474
76038	14	125	40	470
76250	14	32	40	470
76577	17	84	200	474
76586	15	106	90	473
76772	16	5	150	474
76788	15	19	90	473
77190	16	88	150	474
77201	15	111	90	473
77397	15	20	90	473
77773	16	88	150	474
77793	15	115	90	473
77952	17	7	200	474
77954	16	3	150	474
78184	16	1	150	474
78376	15	101	90	473
78570	17	8	200	474
78660	14	38	40	470
78976	15	108	90	473
79154	17	9	200	474
79177	15	21	90	473
79217	14	42	40	470
79572	17	89	200	474
79573	16	91	150	474
79595	15	128	90	473
79792	17	7	200	474
79795	16	11	150	474
79798	15	24	90	473
79847	14	46	40	470
80204	16	95	150	474
80205	15	113	90	473
80387	16	10	150	474
80389	17	13	200	474
80468	14	45	40	470
80801	16	89	150	474
80883	14	138	40	470
81005	15	25	90	473
81374	17	94	200	474
81377	16	93	150	474
81485	15	1	90	473
81572	15	20	90	473
81978	14	104	40	470
82134	17	8	200	474
82157	15	21	90	473
82537	16	85	150	474
82539	17	83	200	474
82545	15	109	90	473
82704	16	7	150	474
82711	17	11	200	474
82811	14	45	40	470
83193	17	99	200	474
83197	15	144	90	473
83346	16	22	150	474
83368	15	37	90	473
83518	17	37	200	474
83521	16	33	150	474
83753	17	95	200	474
83764	16	105	150	474
83914	17	12	200	474
83921	16	16	150	474
84752	17	352	200	474
84755	17	1	200	474
85477	17	22	200	474
85526	15	40	90	473
86077	17	22	200	474
86092	15	26	90	473
86685	16	27	150	474
86687	17	24	200	474
86821	14	62	40	470
87301	17	18	200	474
87363	14	70	40	470
87935	15	50	90	473
88502	16	21	150	474
88506	17	24	200	474
88601	14	66	40	470
89119	16	22	150	474
89122	15	35	90	473
89723	17	19	200	474
89743	16	28	150	474
89767	15	41	90	473
90341	16	17	150	474
90342	17	18	200	474
90429	14	70	40	470
90949	17	23	200	474
91032	14	76	40	470
91572	17	24	200	474
91653	14	72	40	470
92141	16	23	150	474
92142	17	28	200	474
92732	17	30	200	474
92743	16	16	150	474
92843	14	65	40	470
93322	17	25	200	474
93326	16	23	150	474
93408	14	66	40	470
93926	17	24	200	474
93956	15	46	90	473
94050	16	3	150	474
94056	15	15	90	473
94190	16	10	150	474
94193	17	10	200	474
94376	15	19	90	473
94596	16	4	150	474
94657	15	90	90	473
94768	17	7	200	474
94801	15	26	90	473
95072	15	47	90	473
95172	16	9	150	474
95177	17	13	200	474
95184	15	22	90	473
95371	17	30	200	474
95640	16	55	150	474
95642	17	49	200	474
95727	15	80	90	473
95868	17	16	200	474
96014	15	7	90	473
96186	16	39	150	474
96227	16	1	150	474
96315	16	8	150	474
96451	16	15	150	474
96452	17	15	200	474
96470	15	32	90	473
96756	15	77	90	473
96913	15	18	90	473
97025	16	10	150	474
97344	15	131	90	473
97445	17	14	200	474
97456	16	20	150	474
97514	14	506	40	470
97607	17	11	200	474
97901	17	82	200	474
97915	15	133	90	473
98053	15	23	90	473
98178	17	7	200	474
98483	17	99	200	474
98502	15	154	90	473
98612	17	16	200	474
98671	17	1	200	474
98748	17	14	200	474
98753	16	10	150	474
98792	15	27	90	473
99082	16	112	150	474
99187	17	14	200	474
99209	15	19	90	473
99338	16	5	150	474
99355	15	33	90	473
99392	15	1	90	473
99665	16	84	150	474
99668	17	103	200	474
99781	17	11	200	474
99782	16	8	150	474
99790	15	16	90	473
99928	16	11	150	474
100233	17	120	200	474
100243	16	117	150	474
100376	16	16	150	474
100381	15	28	90	473
100501	17	12	200	474
100503	16	12	150	474
100520	15	27	90	473
100822	16	107	150	474
100836	15	163	90	473
100946	17	11	200	474
100953	16	13	150	474
100959	15	22	90	473
101084	16	13	150	474
101089	17	9	200	474
101416	16	129	150	474
101416	17	122	200	474
101428	15	171	90	473
101526	16	17	150	474
101531	17	15	200	474
101572	14	368	40	470
102000	16	84	150	474
102013	15	140	90	473
102110	17	17	200	474
102114	16	21	150	474
102255	16	15	150	474
102256	17	18	200	474
102572	17	70	200	474
102580	16	72	150	474
102681	16	18	150	474
102685	17	16	200	474
102814	16	13	150	474
102822	17	16	200	474
102873	15	1	90	473
103247	16	16	150	474
103258	15	205	90	473
103368	17	8	200	474
103386	16	12	150	474
103397	15	17	90	473
103747	15	157	90	473
103852	17	14	200	474
103860	16	15	150	474
103993	16	14	150	474
103995	17	13	200	474
104307	17	90	200	474
104310	16	83	150	474
104372	17	1	200	474
104442	17	11	200	474
104488	14	329	40	470
104618	15	29	90	473
104892	17	83	200	474
104922	15	136	90	473
105058	16	22	150	474
105061	15	31	90	473
105202	16	14	150	474
105214	15	34	90	473
105531	15	136	90	473
105771	17	11	200	474
105772	16	12	150	474
105780	15	25	90	473
105910	14	1	40	470
106697	17	30	200	474
106700	16	31	150	474
106753	14	69	40	470
107305	16	24	150	474
107318	17	29	200	474
107343	15	40	90	473
107357	14	62	40	470
107705	16	43	150	474
107982	15	241	90	473
108500	17	26	200	474
108509	16	31	150	474
108577	14	67	40	470
109130	17	50	200	474
109133	16	118	150	474
109206	14	305	40	470
109745	15	51	90	473
109925	16	10	150	474
109926	17	9	200	474
110047	17	18	200	474
110308	17	62	200	474
110320	15	194	90	473
110884	17	27	200	474
110904	16	34	150	474
110919	15	52	90	473
110968	14	72	40	470
111271	17	2	200	474
111501	17	50	200	474
111509	16	86	150	474
111541	15	201	90	473
112062	16	33	150	474
112071	17	35	200	474
112147	14	77	40	470
112665	17	63	200	474
112667	16	56	150	474
112675	15	195	90	473
113222	17	22	200	474
113236	16	33	150	474
113318	14	64	40	470
113620	16	20	150	474
113647	15	100	90	473
113883	15	109	90	473
114396	17	21	200	474
114404	16	31	150	474
114429	15	36	90	473
114604	16	5	150	474
115043	16	122	150	474
115046	17	104	200	474
115064	15	226	90	473
115607	17	34	200	474
115616	16	34	150	474
115791	17	4	200	474
116107	17	35	200	474
116297	15	225	90	473
116339	14	307	40	470
116811	16	31	150	474
117212	17	40	200	474
117479	15	232	90	473
118023	17	27	200	474
118036	16	31	150	474
118209	17	10	200	474
118398	17	1	200	474
118417	15	68	90	473
118565	16	52	150	474
118594	14	247	40	470
118983	16	14	150	474
119221	16	40	150	474
119224	17	53	200	474
119231	15	225	90	473
119515	17	36	200	474
119519	16	75	150	474
119677	16	8	150	474
119819	16	21	150	474
120477	16	244	150	474
120526	17	293	200	474
120601	14	1197	40	470
120971	17	15	200	474
120977	16	62	150	474
121289	17	77	200	474
121293	15	247	90	473
121447	16	45	150	474
121846	16	77	150	474
122225	16	83	150	474
122225	17	155	200	474
123003	16	50	150	474
123254	17	37	200	474
123405	17	18	200	474
124021	17	62	200	474
124023	16	59	150	474
124251	17	3	200	474
124255	16	33	150	474
124660	16	13	150	474
124663	17	16	200	474
124874	17	46	200	474
124967	17	17	200	474
125195	16	1	150	474
125467	17	41	200	474
125482	16	56	150	474
125930	17	155	200	474
125934	16	177	150	474
128164	17	185	200	474
128174	16	179	150	474
128186	15	305	90	473
128243	14	399	40	470
128693	17	2	200	474
128840	15	149	90	473
129098	17	65	200	474
129109	16	65	150	474
129167	14	404	40	470
129245	17	10	200	474
129429	15	87	90	473
129512	17	11	200	474
129520	16	18	150	474
129685	17	42	200	474
129686	16	48	150	474
129790	16	17	150	474
129971	17	17	200	474
129978	16	13	150	474
130068	17	17	200	474
130069	16	14	150	474
130226	16	18	150	474
130230	17	27	200	474
130256	15	229	90	473
130341	17	9	200	474
130355	16	13	150	474
130696	16	27	150	474
131600	16	543	150	474
131602	17	549	200	474
131727	16	43	150	474
131901	14	1684	40	470
132411	15	1	90	473
132684	15	2	90	473
132950	14	2	40	470
133559	16	89	150	474
133561	15	90	90	473
134523	15	1	90	473
134776	15	2	90	473
135335	14	17	40	470
136127	14	15	40	470
137144	14	14	40	470
137626	14	11	40	470
137859	14	15	40	470
138601	15	1	90	473
139120	15	5	90	473
139415	14	15	40	470
139648	14	6	40	470
140387	14	8	40	470
140877	14	8	40	470
141376	14	7	40	470
141858	14	4	40	470
144431	14	11	40	470
145404	14	9	40	470
146179	14	12	40	470
147190	14	10	40	470
147666	14	5	40	470
148635	14	6	40	470
149250	14	1	40	470
149507	14	2	40	470
149806	14	4	40	470
150354	14	1	40	470
154082	14	12	40	470
154314	14	5	40	470
154782	14	6	40	470
155020	17	28	200	474
155159	15	93	90	473
155274	16	23	150	474
155584	15	258	90	473
155646	14	466	40	470
155977	14	1	40	470
156482	14	6	40	470
156702	14	5	40	470
156864	16	34	150	474
157107	16	40	150	474
157107	17	37	200	474
157193	14	72	40	470
157593	17	192	200	474
157595	16	200	150	474
157686	14	279	40	470
157878	15	34	90	473
158349	17	196	200	474
158474	14	288	40	470
158906	15	243	90	473
158910	16	207	150	474
159139	17	19	200	474
159147	16	20	150	474
159153	15	24	90	473
159474	17	88	200	474
159481	16	89	150	474
159568	14	129	40	470
159570	14	1	40	470
159650	17	18	200	474
159719	14	37	40	470
159924	15	25	90	473
160115	17	24	200	474
160121	16	23	150	474
160168	14	55	40	470
160485	15	103	90	473
160556	15	1	90	473
160670	15	37	90	473
160860	17	10	200	474
160883	15	24	90	473
161225	17	74	200	474
161226	16	83	150	474
161287	14	132	40	470
161377	16	12	150	474
161445	14	46	40	470
161694	14	42	40	470
161841	16	12	150	474
161934	14	44	40	470
162201	16	97	150	474
162212	17	93	200	474
162237	15	123	90	473
162403	17	47	200	474
162411	16	51	150	474
162609	17	22	200	474
162610	15	25	90	473
162789	16	1	150	474
162980	15	92	90	473
163098	17	3	200	474
163109	16	9	150	474
163183	14	37	40	470
163412	15	55	90	473
163458	14	82	40	470
163611	16	13	150	474
163623	15	27	90	473
163929	17	63	200	474
163955	15	89	90	473
164127	17	21	200	474
164130	16	16	150	474
164209	14	57	40	470
164482	17	37	200	474
164487	16	34	150	474
164564	15	1	90	473
164874	16	50	150	474
164874	17	45	200	474
164917	14	88	40	470
165093	17	15	200	474
165097	16	12	150	474
165190	14	47	40	470
165357	16	31	150	474
165360	15	45	90	473
165859	16	205	150	474
165863	17	221	200	474
165938	14	300	40	470
166103	16	14	150	474
166193	14	46	40	470
166500	14	136	40	470
166594	16	16	150	474
166712	17	12	200	474
166714	16	16	150	474
167065	17	18	200	474
167090	15	33	90	473
167208	15	32	90	473
167444	15	29	90	473
167444	16	17	150	474
167565	16	29	150	474
167576	15	42	90	473
167664	17	13	200	474
167684	15	20	90	473
167695	16	1	150	474
167811	15	36	90	473
167903	16	15	150	474
167909	15	27	90	473
168133	17	17	200	474
168137	16	14	150	474
168247	16	18	150	474
168249	17	12	200	474
168372	17	15	200	474
168376	16	18	150	474
168615	17	90	200	474
168619	16	98	150	474
168737	16	19	150	474
168880	17	46	200	474
168888	16	46	150	474
169091	14	4	40	470
169586	16	22	150	474
169586	17	24	200	474
169726	14	373	40	470
169827	16	17	150	474
169950	16	13	150	474
169977	15	31	90	473
170319	16	83	150	474
170320	17	89	200	474
170464	16	1	150	474
170585	15	43	90	473
170698	14	465	40	470
170826	14	14	40	470
170826	15	1	90	473
171029	16	76	150	474
171033	17	71	200	474
171254	17	8	200	474
171258	16	15	150	474
171372	15	2	90	473
171496	17	9	200	474
171499	16	15	150	474
171616	17	16	200	474
171634	16	24	150	474
171765	15	28	90	473
171983	17	93	200	474
171984	16	101	150	474
172270	16	50	150	474
172271	17	55	200	474
172286	15	133	90	473
172459	14	7	40	470
173050	17	368	200	474
173051	16	387	150	474
173079	15	434	90	473
173219	16	16	150	474
173222	17	16	200	474
173231	15	31	90	473
173345	16	23	150	474
173472	17	23	200	474
173483	16	23	150	474
173708	16	100	150	474
173820	17	21	200	474
173822	15	158	90	473
173939	17	16	200	474
173983	15	31	90	473
174411	17	74	200	474
174416	16	73	150	474
174551	15	29	90	473
174653	17	19	200	474
174792	14	5	40	470
174901	16	18	150	474
175047	15	44	90	473
175129	17	16	200	474
175802	15	417	90	473
176366	16	344	150	474
176437	15	384	90	473
176563	17	12	200	474
176566	16	14	150	474
176604	15	1	90	473
176714	15	30	90	473
176809	17	11	200	474
177035	17	99	200	474
177045	16	87	150	474
177050	15	115	90	473
177285	17	13	200	474
177303	16	22	150	474
177701	17	56	200	474
177712	16	58	150	474
177912	15	124	90	473
178011	16	21	150	474
178012	17	9	200	474
178243	17	16	200	474
178254	15	28	90	473
178257	16	21	150	474
178376	17	32	200	474
178383	16	24	150	474
178388	15	40	90	473
178483	16	23	150	474
178719	17	102	200	474
178721	16	106	150	474
178752	17	1	200	474
178994	15	155	90	473
178996	16	121	150	474
179226	14	1679	40	470
179662	16	266	150	474
182932	16	51	150	474
182934	17	45	200	474
183005	17	8	200	474
183007	16	4	150	474
183256	16	17	150	474
183258	17	15	200	474
183605	16	68	150	474
183606	17	23	200	474
183766	17	30	200	474
183924	16	27	150	474
184078	17	45	200	474
184336	17	25	200	474
184336	16	29	150	474
184624	16	40	150	474
184627	17	38	200	474
185342	14	357	40	470
205462	16	7	150	474
205463	17	11	200	474
205532	14	58	40	470
